"distant"	"factor"	"filename"	"full"	"mapp_sample_id"	"sample_id"	"sample_type"	"source_taxon"	"source_taxon_qid"
"ND"	"ND"	"202404241731_EB_dbgi_mapp_blk_pre01.mzML"	"BK_Biscutella laevigata_NA_NA"	"EB_dbgi_mapp_blk_pre01"	"EB_dbgi_mapp_blk_pre01"	"BK"	"NA"	""
"ND"	"ND"	"202404241731_EB_dbgi_mapp_blk_pre02.mzML"	"BK_Biscutella laevigata_NA_NA"	"EB_dbgi_mapp_blk_pre02"	"EB_dbgi_mapp_blk_pre02"	"BK"	"NA"	""
"ND"	"ND"	"202404241731_EB_dbgi_mapp_blk_pre03.mzML"	"BK_Biscutella laevigata_NA_NA"	"EB_dbgi_mapp_blk_pre03"	"EB_dbgi_mapp_blk_pre03"	"BK"	"NA"	""
"ND"	"ND"	"202404241731_EB_dbgi_mapp_blk_pre04.mzML"	"BK_Biscutella laevigata_NA_NA"	"EB_dbgi_mapp_blk_pre04"	"EB_dbgi_mapp_blk_pre04"	"BK"	"NA"	""
"ND"	"ND"	"202404241731_EB_QC_00.mzML"	"QC_Biscutella laevigata_NA_NA"	"EB_QC_00"	"EB_QC_00"	"QC"	"Biscutella laevigata"	"Q384640"
"ND"	"ND"	"202404241731_EB_QC_01.mzML"	"QC_Biscutella laevigata_NA_NA"	"EB_QC_01"	"EB_QC_01"	"QC"	"Biscutella laevigata"	"Q384640"
"ND"	"ND"	"202404241731_EB_QC_02.mzML"	"QC_Biscutella laevigata_NA_NA"	"EB_QC_02"	"EB_QC_02"	"QC"	"Biscutella laevigata"	"Q384640"
"ND"	"ND"	"202404241731_EB_QC_03.mzML"	"QC_Biscutella laevigata_NA_NA"	"EB_QC_03"	"EB_QC_03"	"QC"	"Biscutella laevigata"	"Q384640"
"ND"	"ND"	"202404241731_EB_QC_04.mzML"	"QC_Biscutella laevigata_NA_NA"	"EB_QC_04"	"EB_QC_04"	"QC"	"Biscutella laevigata"	"Q384640"
"ND"	"ND"	"202404241731_EB_QC_with_worm_00.mzML"	"QC_Biscutella laevigata, Plutella xylostella_NA_NA"	"EB_QC_with_worm_00"	"EB_QC_with_worm_00"	"QC"	"Biscutella laevigata, Plutella xylostella"	"Q1050343, Q384640"
"ND"	"ND"	"202404241731_EB_QC_with_worm_01.mzML"	"QC_Biscutella laevigata, Plutella xylostella_NA_NA"	"EB_QC_with_worm_01"	"EB_QC_with_worm_01"	"QC"	"Biscutella laevigata, Plutella xylostella"	"Q1050343, Q384640"
"ND"	"ND"	"202404241731_EB_QC_with_worm_02.mzML"	"QC_Biscutella laevigata, Plutella xylostella_NA_NA"	"EB_QC_with_worm_02"	"EB_QC_with_worm_02"	"QC"	"Biscutella laevigata, Plutella xylostella"	"Q1050343, Q384640"
"ND"	"ND"	"202404241731_EB_QC_with_worm_03.mzML"	"QC_Biscutella laevigata, Plutella xylostella_NA_NA"	"EB_QC_with_worm_03"	"EB_QC_with_worm_03"	"QC"	"Biscutella laevigata, Plutella xylostella"	"Q1050343, Q384640"
"ND"	"ND"	"202404241731_EB_QC_with_worm_04.mzML"	"QC_Biscutella laevigata, Plutella xylostella_NA_NA"	"EB_QC_with_worm_04"	"EB_QC_with_worm_04"	"QC"	"Biscutella laevigata, Plutella xylostella"	"Q1050343, Q384640"
"ND"	"treatment"	"202404241731_EB_tp24_000006_01_01.mzML"	"sample_Plutella xylostella_treatment_NA"	"EB_tp24_000006_01_01"	"EB_tp24_000006_01_01"	"sample"	"Plutella xylostella"	"Q1050343"
"no"	"treatment"	"202404241731_EB_tp24_000011_01_01.mzML"	"sample_Biscutella laevigata_treatment_no"	"EB_tp24_000011_01_01"	"EB_tp24_000011_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"yes"	"treatment"	"202404241731_EB_tp24_000012_01_01.mzML"	"sample_Biscutella laevigata_treatment_yes"	"EB_tp24_000012_01_01"	"EB_tp24_000012_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"no"	"treatment"	"202404241731_EB_tp24_000013_01_01.mzML"	"sample_Biscutella laevigata_treatment_no"	"EB_tp24_000013_01_01"	"EB_tp24_000013_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"no"	"treatment"	"202404241731_EB_tp24_000014_01_01.mzML"	"sample_Biscutella laevigata_treatment_no"	"EB_tp24_000014_01_01"	"EB_tp24_000014_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"yes"	"treatment"	"202404241731_EB_tp24_000015_01_01.mzML"	"sample_Biscutella laevigata_treatment_yes"	"EB_tp24_000015_01_01"	"EB_tp24_000015_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"ND"	"control"	"202404241731_EB_tp24_000016_01_01.mzML"	"sample_Plutella xylostella_control_NA"	"EB_tp24_000016_01_01"	"EB_tp24_000016_01_01"	"sample"	"Plutella xylostella"	"Q1050343"
"ND"	"control"	"202404241731_EB_tp24_000017_01_01.mzML"	"sample_Biscutella laevigata_control_NA"	"EB_tp24_000017_01_01"	"EB_tp24_000017_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"ND"	"control"	"202404241731_EB_tp24_000018_01_01.mzML"	"sample_Biscutella laevigata_control_NA"	"EB_tp24_000018_01_01"	"EB_tp24_000018_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"ND"	"control"	"202404241731_EB_tp24_000019_01_01.mzML"	"sample_Biscutella laevigata_control_NA"	"EB_tp24_000019_01_01"	"EB_tp24_000019_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"yes"	"treatment"	"202404241731_EB_tp24_000020_01_01.mzML"	"sample_Biscutella laevigata_treatment_yes"	"EB_tp24_000020_01_01"	"EB_tp24_000020_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
